"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17007.9763534437","17924.6772648317","18472.0342777043","18713.9177896026","19447.2944165858","20307.5896906415","21007.1861850241","21899.3323570767","22852.6916670463","23755.7629688351","25224.9477227044","26396.9688159574","27149.6168782424","27650.4973182221","28868.9060856975","30187.3322544014","32762.397523298","34537.1867012924","35801.2020809163","35187.8535605208","36126.0481670171","37620.3522288372","37633.5928346807","38316.5576152079","",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710","820","1010","1060","1130","1220","1230","1210","1150","1220","1220","1150","1150","1180","1160","1170","1040","1050","1050","1130","1190","1180","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13580","14360","14760","14970","15400","16330","17020","18030","19240","20200","21810","22980","24390","25100","26180","27470","30360","31980","32820","32330","31900","32050","32030","32700","",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9390","10120","11330","12560","13930","15830","18140","20150","21020","19420","19740","22050","22960","24570","",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","390","350","390","400","420","470","470","450","470","490","530","530","510","580","650","730","810","890","950","1060","1170","1260","1380","",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14778.6985105032","15446.0528209696","15908.017359421","16230.8517990859","17018.5766604862","17835.4734262969","18586.1764604951","19475.1665201107","20341.3837295125","21066.5461036605","22531.9386227246","23662.4317518125","24539.6063404797","25187.9653702017","26470.2349735095","27756.6563605103","30078.7386560462","31703.0223253309","32943.7138801911","32369.7631412529","33192.6298006233","34564.8783516761","34644.2258280491","35461.2974122281","",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2521.57424530326","2710.54035770016","2925.32253564828","3078.12776794652","3215.33449239326","3284.87503885366","3367.26636163891","3455.59449525597","3626.65126126532","3689.80720967246","",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17600","16850","16350","16410","17510","18710","19380","21280","22840","24260","26330","27530","28510","28610","31280","32190","34850","37570","39770","38160","38810","40450","39930","39930","",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3550","3560","3800","3920","4090","4340","4610","4520","4510","4940","5210","5260","5600","5710","6170","6470","6400","6570","6680","6710","6740","7000","7160","7590","",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17670","18380","19050","19300","20020","20770","21500","22530","23660","24750","26480","27930","28790","28410","29440","30910","32950","34720","35890","35570","36610","38170","37690","38530","",
"Faeroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2380","2440","2390","2400","2340","2400","2580","2680","2730","2840","2860","3040","3140","3200","3160","3330","3390","3540","3670","3680","",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11110","11870","11100","11310","12020","12340","12690","13290","13870","12390","11700","12210","12590","12560","12070","13370","13130","14110","14350","14240","14480","15410","16500","17230","",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16470","16770","17450","18400","19830","20800","22090","23730","24800","25100","27520","28960","30440","31650","33640","35320","37230","37740","37820","36480","36320","37050","36830","38160","",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5190","4200","2330","1660","1530","1600","1900","2310","2470","2600","2690","2830","3030","3450","3810","4240","4790","5450","5610","5420","5710","6140","6760","7040","",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1270","1320","1370","1400","1460","1510","1570","1620","1680","1720","1800","1870","1950","2060","2220","2380","2540","2740","2800","2950","3340","3540","3900","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","690","700","720","730","750","770","800","820","860","880","910","980","930","960","980","980","1030","1040","1030","1060","1100","1140","1160","",
